"name","sliceThickness","pixelSpacing"
"CervixFinalST0001",3,1.171875
"CervixFinalST0002",3,1.171875
"CervixFinalST0003",3,1.171875
"CervixFinalST0004",3,1.171875
"CervixFinalST0005",3,1.171875
"CervixFinalST0006",3,1.171875
"CervixFinalST0007",3,1.171875
"CervixFinalST0008",2.5,1.269531
"CervixFinalST0009",3,1.171875
"CervixFinalST0010",3,1.171875
"CervixFinalST0011",3,1.171875
"CervixFinalST0012",3,1.171875
"CervixFinalST0013",3,1.171875
"CervixFinalST0014",3,1.171875
"CervixFinalST0015",3,1.171875
"CervixFinalST0016",3,1.171875
"CervixFinalST0017",3,1.171875
"CervixFinalST0018",3,1.171875
"CervixFinalST0019",3,1.171875
"CervixFinalST0020",3,1.171875
"CervixFinalST0021",1,1.171875
"CervixFinalST0022",3,1.171875
"CervixFinalST0023",3,1.171875
"CervixFinalST0024",2.5,1.269531
"CervixFinalST0025",2.5,1.269531
"CervixFinalST0026",3,1.171875
"CervixFinalST0027",2.5,1.269531
"CervixFinalST0028",2.5,1.269531
"CervixFinalST0029",2.5,1.269531
"CervixFinalST0030",3,1.171875
"CervixFinalST0031",3,1.171875
"CervixFinalST0032",3,1.171875
"CervixFinalST0033",3,1.171875
"CervixFinalST0034",3,1.171875
"CervixFinalST0035",3,1.171875
"CervixFinalST0036",3,1.171875
"CervixFinalST0037",2.5,1.269531
"CervixFinalST0038",3,1.171875
"CervixFinalST0039",3,1.171875
"CervixFinalST0040",3,1.171875
"CervixFinalST0041",3,1.171875
"CervixFinalST0042",3,1.171875
"CervixFinalST0043",3,1.171875
"CervixFinalST0044",3,1.171875
"CervixFinalST0045",3,1.171875
"CervixFinalST0046",3,1.171875
"CervixFinalST0047",3,1.171875
"CervixFinalST0048",2.5,1.269531
"CervixFinalST0049",2.5,1.269531
"CervixFinalST0050",2.5,1.269531
"CervixFinalST0051",3,1.171875
"CervixFinalST0052",3,1.171875
"CervixFinalST0053",2.5,1.269531
"CervixFinalST0054",2.5,1.269531
"CervixFinalST0055",3,1.171875
"CervixFinalST0056",3,1.171875
"CervixFinalST0057",2.5,1.269531
"CervixFinalST0058",3,1.171875
"CervixFinalST0059",3,1.171875
"CervixFinalST0060",2.5,1.269531
"CervixFinalST0061",3,1.171875
"CervixFinalST0062",3,1.171875
"CervixFinalST0063",3,1.171875
"CervixFinalST0064",3,1.171875
"CervixFinalST0065",3,1.171875
"CervixFinalST0066",2.5,1.269531
"CervixFinalST0067",2.5,1.269531
"CervixFinalST0068",3,1.171875
"CervixFinalST0069",3,1.171875
"CervixFinalST0070",3,1.171875
"CervixFinalST0071",3,1.03515625
"CervixFinalST0072",1,1.171875
"CervixFinalST0073",2,0.9765625
"CervixFinalST0074",3,1.171875
"CervixFinalST0075",3,1.171875
"CervixFinalST0076",3,1.171875
"CervixFinalST0077",2.5,1.269531
"CervixFinalST0078",3,1.171875
"CervixFinalST0079",3,1.171875
"CervixFinalST0080",3,1.171875
"CervixFinalST0081",3,1.03515625
"CervixFinalST0082",3.75,0.976562
"CervixFinalST0083",3,1.171875
"CervixFinalST0084",3,1.171875
"CervixFinalST0085",3,1.171875
"CervixFinalST0086",2.5,1.269531
"CervixFinalST0087",3,1.171875
"CervixFinalST0088",3,1.171875
"CervixFinalST0089",3,1.171875
"CervixFinalST0090",3,1.171875
"CervixFinalST0091",2.5,1.269531
"CervixFinalST0092",3,1.171875
"CervixFinalST0093",3,1.171875
"CervixFinalST0094",2.5,1.269531
"CervixFinalST0095",2.5,1.269531
"CervixFinalST0096",2.5,1.269531
"CervixFinalST0097",2.5,1.269531
"CervixFinalST0098",3,1.3671875
"CervixFinalST0099",3,1.36523438
"CervixFinalST0100",3,1.171875
"CervixFinalST0101",3,1.171875
"CervixFinalST0102",2.5,1.269531
"CervixFinalST0103",2.5,1.269531
"CervixFinalST0104",3,1.171875
"CervixFinalST0105",2.5,1.269531
"CervixFinalST0106",2.5,1.269531
"CervixFinalST0107",2.5,1.269531
"CervixFinalST0108",2.5,1.269531
"CervixFinalST0109",3,1.171875
"CervixFinalST0110",3,1.171875
"CervixFinalST0111",2.5,1.269531
"CervixFinalST0112",3,1.18164
"CervixFinalST0113",2.5,1.03516
"CervixFinalST0114",2.5,1.26953
"CervixFinalST0115",2.5,1.26953
"CervixFinalST0116",2.5,1.17188
"CervixFinalST0117",2.5,1.17188
"CervixFinalST0118",2.5,1.17188
"CervixFinalST0119",2.5,1.26953
"CervixFinalST0120",2.5,1.17188
"CervixFinalST0121",2.5,1.26953
"CervixFinalST0122",2.5,1.26953
"CervixFinalST0123",2.5,1.26953
"CervixFinalST0124",2.5,1.26953
"CervixFinalST0125",2.5,1.26953
"CervixFinalST0126",2.5,1.17188
"CervixFinalST0127",2.5,1.17188
"CervixFinalST0128",2.5,1.26953
"CervixFinalST0129",3,1.171875
"CervixFinalST0130",2.5,1.269531
"CervixFinalST0131",3,1.171875
"CervixFinalST0132",3,1.171875
"CervixFinalST0133",3,1.171875
"CervixFinalST0134",2.5,1.269531
"CervixFinalST0135",3,1.171875
"CervixFinalST0136",3,1.171875
"CervixFinalST0137",3,1.171875
"CervixFinalST0138",3,1.171875
"CervixFinalST0139",2.5,1.269531
"CervixFinalST0140",2.5,1.17188
